SNo.,l1Size,l1nl2ratio,l1assoc,l2assoc,l1Latency,l2Latency,blkSize,simSeconds,hostInstRate,numCycles,cpu.cpi,cpu.ipc,dcache.overallMissRate::total,dcache.overallAvgMissLatency::total,icache.overallMissRate::total,icache.overallAvgMissLatency::total,l2cache.overallMissRate::total,l2cache.overallAvgMissLatency::total
149,64kB,8,2,8,5,20,8,0.032892,1053754.0,19731124.0,8.903648,0.112314,0.000533,152901.786364,0.000188,148245.766724,0.980469,133833.202191
150,64kB,8,2,16,5,20,8,0.032892,1030838.0,19731124.0,8.903648,0.112314,0.000533,152901.786364,0.000188,148245.766724,0.980469,133833.202191
151,64kB,2,2,8,5,30,0,0.006806,923216.0,4082575.0,9.161664,0.10915,0.002395,185900.809091,0.000949,181737.489655,0.979432,167571.841
152,128kB,2,4,16,5,20,0,0.006771,926169.0,4062036.0,9.115573,0.109702,0.002395,153197.3,0.000936,149461.704545,0.987167,134010.13
153,128kB,2,2,8,5,20,8,0.032892,998936.0,19731124.0,8.903648,0.112314,0.000533,152901.786364,0.000188,148245.766724,0.980469,133833.202191
154,64kB,8,4,8,3,30,0,0.004151,924570.0,2489896.0,5.58755,0.178969,0.002395,180418.652273,0.000936,175116.601399,0.987167,167226.772
155,64kB,2,4,16,5,20,0,0.006771,922871.0,4062036.0,9.115573,0.109702,0.002395,153197.3,0.000936,149461.704545,0.987167,134010.13
156,64kB,4,4,16,5,30,8,0.032925,1038767.0,19751239.0,8.912724,0.112199,0.000533,185764.418182,0.000186,183057.4375,0.987217,167362.483068
157,128kB,4,4,8,5,30,4,0.022953,1020997.0,13768884.0,9.025024,0.110803,0.000754,185453.75,0.000268,182831.697917,0.987217,167096.825697
158,64kB,4,2,8,3,20,4,0.013807,1017533.0,8282363.0,5.428801,0.184203,0.000754,146237.575,0.000271,142198.245283,0.980469,134195.160359
159,128kB,4,2,8,5,30,8,0.032926,1044512.0,19751723.0,8.912943,0.112196,0.000533,186503.202273,0.000188,181785.921098,0.980469,167736.063745
160,128kB,4,2,8,5,20,8,0.032892,1035275.0,19731124.0,8.903648,0.112314,0.000533,152901.786364,0.000188,148245.766724,0.980469,133833.202191
161,128kB,2,4,8,5,30,8,0.032925,1014655.0,19751239.0,8.912724,0.112199,0.000533,185764.418182,0.000186,183057.4375,0.987217,167362.483068
162,128kB,8,2,16,3,30,4,0.013841,1020162.0,8302873.0,5.442244,0.183748,0.000754,179835.202273,0.000271,175486.777015,0.980469,167950.25
163,128kB,8,2,8,5,20,0,0.006772,915068.0,4062122.0,9.115766,0.1097,0.002395,152659.313636,0.000949,148170.432759,0.979432,133793.42
164,64kB,4,4,16,5,30,4,0.022953,1007286.0,13768884.0,9.025024,0.110803,0.000754,185453.75,0.000268,182831.697917,0.987217,167096.825697
165,64kB,2,2,8,3,30,4,0.013841,1015996.0,8302873.0,5.442244,0.183748,0.000754,179835.202273,0.000271,175486.777015,0.980469,167950.25
166,128kB,4,4,16,3,30,4,0.01384,977387.0,8302448.0,5.441966,0.183757,0.000754,180812.670455,0.000268,175581.984375,0.987217,167651.385458
167,128kB,8,4,8,5,20,4,0.02292,996005.0,13749189.0,9.012115,0.110962,0.000754,153587.529545,0.000268,150174.704861,0.987217,134578.703187
168,64kB,8,2,8,3,30,8,0.019824,1040740.0,11892249.0,5.366364,0.186346,0.000533,180263.318182,0.000188,175332.372213,0.980469,168048.211155
169,64kB,4,4,8,5,20,4,0.02292,971929.0,13749189.0,9.012115,0.110962,0.000754,153587.529545,0.000268,150174.704861,0.987217,134578.703187
170,128kB,8,4,16,5,30,8,0.032925,1034677.0,19751239.0,8.912724,0.112199,0.000533,185764.418182,0.000186,183057.4375,0.987217,167362.483068
171,64kB,2,4,8,5,30,4,0.022953,988290.0,13768884.0,9.025024,0.110803,0.000754,185453.75,0.000268,182831.697917,0.987217,167096.825697
172,64kB,2,2,8,3,20,4,0.013807,1030289.0,8282363.0,5.428801,0.184203,0.000754,146237.575,0.000271,142198.245283,0.980469,134195.160359
173,128kB,4,2,16,5,30,0,0.006806,888683.0,4082575.0,9.161664,0.10915,0.002395,185900.809091,0.000949,181737.489655,0.979432,167571.841
174,64kB,2,4,8,5,20,4,0.02292,952895.0,13749189.0,9.012115,0.110962,0.000754,153587.529545,0.000268,150174.704861,0.987217,134578.703187
175,128kB,4,2,8,3,20,0,0.004118,925461.0,2470079.0,5.543079,0.180405,0.002395,145934.484091,0.000949,141973.791379,0.979432,134041.803
176,128kB,4,4,8,5,20,0,0.006771,901224.0,4062036.0,9.115573,0.109702,0.002395,153197.3,0.000936,149461.704545,0.987167,134010.13
