SNo.,l1Size,l1nl2ratio,l1assoc,l2assoc,l1Latency,l2Latency,blkSize,simSeconds,hostInstRate,numCycles,cpu.cpi,cpu.ipc,dcache.overallMissRate::total,dcache.overallAvgMissLatency::total,icache.overallMissRate::total,icache.overallAvgMissLatency::total,l2cache.overallMissRate::total,l2cache.overallAvgMissLatency::total
276,64kB,8,4,16,5,20,8,0.032891,1067044.0,19730925.0,8.903558,0.112315,0.000533,152257.718182,0.000186,149862.142361,0.987217,133816.598606
277,64kB,8,2,8,5,30,0,0.006806,926684.0,4082575.0,9.161664,0.10915,0.002395,185900.809091,0.000949,181737.489655,0.979432,167571.841
278,64kB,8,2,16,3,30,8,0.019824,1048192.0,11892249.0,5.366364,0.186346,0.000533,180263.318182,0.000188,175332.372213,0.980469,168048.211155
279,128kB,8,2,8,5,20,8,0.032892,1029805.0,19731124.0,8.903648,0.112314,0.000533,152901.786364,0.000188,148245.766724,0.980469,133833.202191
280,64kB,8,4,16,3,20,8,0.01979,1031708.0,11871526.0,5.357013,0.186671,0.000533,145290.415909,0.000186,144143.40625,0.987217,134230.027888
281,128kB,8,4,16,3,30,0,0.004151,929157.0,2489896.0,5.58755,0.178969,0.002395,180418.652273,0.000936,175116.601399,0.987167,167226.772
282,128kB,4,4,16,5,20,0,0.006771,905086.0,4062036.0,9.115573,0.109702,0.002395,153197.3,0.000936,149461.704545,0.987167,134010.13
283,128kB,4,4,16,3,20,8,0.01979,1032767.0,11871526.0,5.357013,0.186671,0.000533,145290.415909,0.000186,144143.40625,0.987217,134230.027888
284,64kB,4,4,16,5,20,4,0.02292,997830.0,13749189.0,9.012115,0.110962,0.000754,153587.529545,0.000268,150174.704861,0.987217,134578.703187
285,64kB,4,4,8,3,20,4,0.013806,1031705.0,8282179.0,5.42868,0.184207,0.000754,145472.270455,0.000268,143917.666667,0.987217,134180.217131
286,64kB,4,2,8,5,30,4,0.022953,1019114.0,13769217.0,9.025243,0.1108,0.000754,186097.818182,0.000271,181202.614065,0.980469,167219.692231
287,128kB,8,4,16,5,30,4,0.022953,1007625.0,13768884.0,9.025024,0.110803,0.000754,185453.75,0.000268,182831.697917,0.987217,167096.825697
