,Branch Predictor,Freq,BlockSize,simSeconds,hostInstRate,board.processor.cores.core.branchPred.lookups,board.processor.cores.core.branchPred.condPredicted,board.processor.cores.core.branchPred.BTBHitRatio,board.processor.cores.core.commit.branchMispredicts
85,L,1.0GHz,2,0.009188,149218.0,76005.0,52448.0,0.993681,16147.0
86,B,800MHz,8,0.010277,206983.0,52668.0,46072.0,0.991135,1715.0
87,B,3.0GHz,8,0.008606,146667.0,52611.0,46039.0,0.991459,1798.0
88,T,2.0GHz,0,0.002533,140103.0,22360.0,20534.0,0.958033,1279.0
89,L,2.4GHz,0,0.002475,129229.0,22519.0,20644.0,0.976882,1262.0
90,T,800MHz,2,0.007474,180240.0,69480.0,52526.0,0.983397,825.0
91,L,800MHz,4,0.008362,189895.0,50472.0,40208.0,0.990323,7839.0
92,L,1.4GHz,0,0.002677,140928.0,22537.0,20650.0,0.976593,1244.0
93,B,1.4GHz,8,0.009371,173118.0,52649.0,46056.0,0.991244,1722.0
94,T,800MHz,0,0.002974,162285.0,22373.0,20532.0,0.957627,1276.0
95,B,2.4GHz,8,0.008741,154677.0,52643.0,46057.0,0.991461,1779.0
96,T,1.2GHz,2,0.006959,168736.0,69432.0,52507.0,0.983564,803.0
97,B,1.8GHz,2,0.006835,138488.0,74040.0,54842.0,0.992731,3403.0
98,L,1.8GHz,4,0.00735,156156.0,50474.0,40214.0,0.990303,7866.0
99,B,2.4GHz,0,0.002495,125764.0,22433.0,20529.0,0.97981,1681.0
100,L,2.0GHz,8,0.009369,162939.0,52399.0,45890.0,0.990659,5304.0
101,T,3.0GHz,8,0.008519,144197.0,51627.0,45752.0,0.98103,677.0
102,B,600MHz,2,0.008573,184512.0,74144.0,54898.0,0.992384,3316.0
103,B,1.2GHz,8,0.009593,178891.0,52652.0,46065.0,0.991265,1709.0
104,B,1.4GHz,0,0.002698,146337.0,22455.0,20534.0,0.97939,1607.0
105,L,1.0GHz,8,0.01033,193689.0,52424.0,45903.0,0.990682,5276.0
106,T,1.4GHz,4,0.006817,178497.0,48565.0,40111.0,0.978175,640.0
107,L,3.0GHz,4,0.007078,139302.0,50447.0,40207.0,0.990402,7893.0
